Altium Designer Pick and Place Locations
C:\Espresso\PCB Design\Stream Deck\Design Files\espressoFlux_Rev.03\Project Outputs for Stream_Deck\Pick Place for main.csv

========================================================================================================================
File Design Information:

Date:       12/12/22
Time:       11:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Designator1","Comment","TopLayer","Mark_4-layers","-1557.402","-1690.827","0",""
"FD4","Fiducial","TopLayer","FIDUCIAL-TB-1mm","-838.583","-169.291","0","Fiducial mark"
"FD3","Fiducial","TopLayer","FIDUCIAL-TB-1mm","744.095","149.606","0","Fiducial mark"
"FD2","Fiducial","TopLayer","FIDUCIAL-TB-1mm","-66.929","795.276","0","Fiducial mark"
"FD1","Fiducial","TopLayer","FIDUCIAL-TB-1mm","-590.551","-622.047","0","Fiducial mark"
"U7","TPS2514DBVT","TopLayer","SOT26A-6N","-177.165","381.890","0","USB Charging Port Controller SOT-23-6 Texas Instruments TPS2514DBVT, Battery Charge Controller, 35mA, 6-Pin SOT-23"
"C39","0.1uF","TopLayer","CAP_0805","-125.981","263.783","0","0.1µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"L5","MBKK2012T1R0M","TopLayer","INDC2012N","425.197","228.346","180","1 µH Shielded Drum Core, Wirewound Inductor 1.45 A 106mOhm Max 0805 (2012 Metric)"
"C17","0.1uF","TopLayer","CAP_0805","-555.115","732.280","270","0.1µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"J4","653002114822","TopLayer","CON2_probing_1.25mm","143.937","348.189","270","2 Pins, 1 Row 1.25mm Pitch, Straight Connector, male"
"S7","PTS645SM43SMTR92LFS","BottomLayer","C&K_0_MFG_-_duplicate","-551.181","551.181","90",""
"C11","10uF","TopLayer","CAP_0805","-650.823","-3.934","90","10µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"LED1","WS2812B","BottomLayer","WS2812B","0.000","-551.181","0","Raspberry Pi HAT _40 pin_ Wheeled Robotics Kit"
"Q4","SS8050-G","TopLayer","TRANS_NPN_SS8050-G","-863.522","111.098","180","Bipolar (BJT) Transistor NPN 25 V 1.5 A 100MHz 300 mW Surface Mount SOT-23-3"
"R33","10K","TopLayer","RES_0805","-755.905","242.126","270","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film"
"R32","10K","TopLayer","RES_0805","-866.145","-35.436","180","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film"
